"$1,000"	"Attributes"
"$1,000,000"	"Attributes"
"$1,000,000,000"	"Attributes"
"$1,000,000,000,000"	"Attributes"
"$1,244,000,000"	"Attributes"
"$1,259,000,000"	"Attributes"
"$1,300,000,000"	"Attributes"
"$1,500,000,000"	"Attributes"
"$1,750,000,000"	"Attributes"
"$10,000"	"Attributes"
"$10,000,000,000"	"Attributes"
"$10.00"	"Attributes"
"$100"	"Attributes"
"$100,000"	"Attributes"
"$100,000,000"	"Attributes"
"$140,000"	"Attributes"
"$15,000,000,000"	"Attributes"
"$150"	"Attributes"
"$150,000"	"Attributes"
"$150,000,000"	"Attributes"
"$175,000,000,000"	"Attributes"
"$2,000"	"Attributes"
"$2,000,000,000"	"Attributes"
"$2,250,000,000"	"Attributes"
"$2,500"	"Attributes"
"$2,500,000,000"	"Attributes"
"$20,000"	"Attributes"
"$20,000,000"	"Attributes"
"$200,000,000"	"Attributes"
"$200,000,000,000"	"Attributes"
"$25"	"Attributes"
"$25,000"	"Attributes"
"$25,000,000"	"Attributes"
"$250,000"	"Attributes"
"$250,000,000"	"Attributes"
"$3,000,000"	"Attributes"
"$30,000,000"	"Attributes"
"$300,000,000"	"Attributes"
"$35,000,000"	"Attributes"
"$375,000"	"Attributes"
"$45,000,000"	"Attributes"
"$475,000,000,000"	"Attributes"
"$5,000"	"Attributes"
"$5,000,000,000"	"Attributes"
"$5,300,000,000,000"	"Attributes"
"$50"	"Attributes"
"$50,000,000"	"Attributes"
"$50,000,000,000"	"Attributes"
"$500,000"	"Attributes"
"$7,500"	"Attributes"
"$700,000,000,000"	"Attributes"
"$725,000"	"Attributes"
"$75,000"	"Attributes"
"$75,000,000"	"Attributes"
"$8,000,000"	"Attributes"
"0.02 percent"	"Attributes"
"0.5 percent"	"Attributes"
"02-Mar"	"Attributes"
"1"	"Attributes"
"1-4 unit"	"Attributes"
"1-month"	"Attributes"
"1-year"	"Attributes"
"1.35 percent"	"Attributes"
"1.5"	"Attributes"
"1/100th"	"Attributes"
"1/3"	"Attributes"
"10"	"Attributes"
"10 business days"	"Attributes"
"10 days"	"Attributes"
"10 percent"	"Attributes"
"10 years"	"Attributes"
"10-year"	"Attributes"
"10.1 percent"	"Attributes"
"100"	"Attributes"
"100 percent"	"Attributes"
"12"	"Attributes"
"12 months"	"Attributes"
"12-month"	"Attributes"
"120 days"	"Attributes"
"120-day"	"Attributes"
"125"	"Attributes"
"13.3"	"Attributes"
"14 days"	"Attributes"
"14 unit"	"Attributes"
"15"	"Attributes"
"15 days"	"Attributes"
"15 months"	"Attributes"
"15 percent"	"Attributes"
"15-day"	"Attributes"
"150-day"	"Attributes"
"18 months"	"Attributes"
"18-month"	"Attributes"
"180 days"	"Attributes"
"180-day"	"Attributes"
"1970"	"Attributes"
"1995"	"Attributes"
"1996"	"Attributes"
"1st"	"Attributes"
"2"	"Attributes"
"2 months"	"Attributes"
"2 years"	"Attributes"
"2-year"	"Attributes"
"2.5"	"Attributes"
"2/3"	"Attributes"
"20"	"Attributes"
"2001"	"Attributes"
"2002"	"Attributes"
"2003"	"Attributes"
"2004"	"Attributes"
"2005"	"Attributes"
