Operands;CLOSE;OPERANDS;;20 operators become operands
Operands;CONSULT;OPERANDS;;20 operands and operators become unclassified
Operands;CONSULTATION;OPERANDS;;
Operands;CORRECT;OPERANDS;;
Operands;CORRECTLY;OPERANDS;;
Operands;COVERAGE;OPERANDS;;
Operands;CREDIT;OPERANDS;;
Operands;CREDITING;OPERANDS;;
Operands;CRITERIA;OPERANDS;;
Operands;DEMONSTRABLY;OPERANDS;;
Operands;DEMONSTRATE;OPERANDS;;
Operands;DEMONSTRATING;OPERANDS;;
Operands;FINAL;OPERANDS;;
Operands;FINALISATION;OPERANDS;;
Operands;FINALISE;OPERANDS;;
Operands;FINALISED;OPERANDS;;
Operands;IDENTITY;OPERANDS;;
Operands;INCIDENTAL;OPERANDS;;
Operands;INITIAL;OPERANDS;;
Operands;NUMBER;OPERANDS;;
Operands;OPTION;OPERANDS;;
Operands;OPTIONAL;OPERANDS;;
Operands;OPTIONALITY;OPERANDS;;
Operands;OUTCOMES;OPERANDS;;
Operands;PERFORM;OPERANDS;;
Operands;PERFORMANCE;OPERANDS;;
Operands;PERFORMED;OPERANDS;;
Operands;PERFORMS;OPERANDS;;
Operands;POSE;OPERANDS;;
Operands;PRESUMABLY;OPERANDS;;
Operands;PRESUMPTION;OPERANDS;;
Operands;RECOGNISE;OPERANDS;;
Operands;RECOGNISED;OPERANDS;;
Operands;RECOGNISING;OPERANDS;;
Operands;RECOGNITION;OPERANDS;;
Operands;RECOGNIZES;OPERANDS;;
Operands;SIMPLIFICATION;OPERANDS;;
Operands;SIMPLIFICATIONS;OPERANDS;;
Operands;SIMPLIFIED;OPERANDS;;
Operands;SIMPLIFY;OPERANDS;;
Operands;SIMPLIFYING;OPERANDS;;
Operands;SPLIT;OPERANDS;;
Operands;SPLITS;OPERANDS;;
Operands;STRICT;OPERANDS;;
Operands;SUBJECTIVE;OPERANDS;;
Operands;SUBSEQUENT;OPERANDS;;
Operands;WEIGHT;OPERANDS;;
